index,row,propertyTableColumn,DatabaseTableName,lookupCode,formatHashColumn
46,House Design - Doublewide,Style,style,style45,"{table: :Style, code: 'style', label: 'Doublewide'}"
47,House Design - Triplewide,Style,style,style46,"{table: :Style, code: 'style', label: 'Triplewide'}"
48,House Design - Modular,Style,style,style47,"{table: :Style, code: 'style', label: 'Modular'}"
49,House Design - Multi-Level,Style,style,style48,"{table: :Style, code: 'style', label: 'Multi-Level'}"
50,House Design - Tri/Split Level,Style,style,style49,"{table: :Style, code: 'style', label: 'Tri/Split Level'}"
51,House Design - Townhouse,Style,style,style50,"{table: :Style, code: 'style', label: 'Townhouse'}"
52,House Design - Shop House,Style,style,style51,"{table: :Style, code: 'style', label: 'Shop House'}"
54,Construction - Block,ConstructionType,construction_type,constructiontype53,"{table: :Construction_Type, code: 'constructiontype', label: 'Block'}"
55,Construction - Concrete,ConstructionType,construction_type,constructiontype54,"{table: :Construction_Type, code: 'constructiontype', label: 'Concrete'}"
56,Construction - Frame,ConstructionType,construction_type,constructiontype55,"{table: :Construction_Type, code: 'constructiontype', label: 'Frame'}"
